codigo_cliente;regional;gerencia;subcanal;subcanal_;Gerencia_F;Cliente
11388273;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
12246293;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
12944525;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
11256086;CO Norte;CO GC Santa Marta;OOH DL Tienda Social;tiendita;#REF!;#REF!
10158076;CO Norte;CO GC Sincelejo;OOH DL Tienda Social;tiendita;#REF!;#REF!
12525002;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
13011151;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
13076889;CO Norte;CO GC Sincelejo;IH SF Licorera;tiendita;#REF!;#REF!
13860742;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
11359386;CO Norte;CO GC Sincelejo;OOH DL Tienda Social;tiendita;#REF!;#REF!
11117161;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
13185128;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
11741748;CO Norte;CO GC Cartagena;OOH DL Tienda Social;tiendita;#REF!;#REF!
11468559;CO Norte;CO GC Cúcuta;IH SF Licorera;tiendita;#REF!;#REF!
11577136;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
10274531;CO Norte;CO GC Cartagena;OOH DL Tienda Social;tiendita;#REF!;#REF!
11539842;CO Norte;CO GC Valledupar;OOH DL Tienda Social;tiendita;#REF!;#REF!
10378842;CO Norte;CO GC Barranquilla;OOH DL Tienda Social;tiendita;#REF!;#REF!
11229209;CO Norte;CO GC Santa Marta;OOH DL Tienda Social;tiendita;#REF!;#REF!
11127932;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
12976039;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
12458959;CO Norte;CO GC Santa Marta;OOH DL Tienda Social;tiendita;#REF!;#REF!
13499028;CO Norte;CO GC Cartagena;IH SF Licorera;tiendita;#REF!;#REF!
12778372;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
11405158;CO Norte;CO GC Valledupar;OOH DL Tienda Social;tiendita;#REF!;#REF!
12719660;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
13109184;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
12977615;CO Norte;CO GC Córdoba;IH SF Licorera;tiendita;#REF!;#REF!
11577037;CO Norte;CO GC Cúcuta;IH SF Licorera;tiendita;#REF!;#REF!
10294001;CO Norte;CO GC Cartagena;OOH DL Tienda Social;tiendita;#REF!;#REF!
11354217;CO Norte;CO GC Córdoba;IH SF Licorera;tiendita;#REF!;#REF!
12977604;CO Norte;CO GC Córdoba;IH SF Licorera;tiendita;#REF!;#REF!
13076598;CO Norte;CO GC Córdoba;IH SF Licorera;tiendita;#REF!;#REF!
12941453;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
11656021;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
13309561;CO Norte;CO GC Cúcuta;IH SF Licorera;tiendita;#REF!;#REF!
10580073;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
11571985;CO Norte;CO GC Cartagena;OOH DL Tienda Social;tiendita;#REF!;#REF!
10270869;CO Norte;CO GC Santa Marta;OOH DL Tienda Social;tiendita;#REF!;#REF!
12651314;CO Norte;CO GC Cartagena;IH SF Licorera;tiendita;#REF!;#REF!
11622148;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
10383815;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
13048219;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
10146289;CO Norte;CO GC Santa Marta;OOH DL Tienda Social;tiendita;#REF!;#REF!
11575843;CO Norte;CO GC Cartagena;IH SF Licorera;tiendita;#REF!;#REF!
10371127;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
11554940;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
13839476;CO Norte;CO GC Valledupar;IH SF Licorera;tiendita;#REF!;#REF!
10939024;CO Norte;CO GC Santa Marta;OOH DL Tienda Social;tiendita;#REF!;#REF!
13048891;CO Norte;CO GC Cartagena;IH SF Licorera;tiendita;#REF!;#REF!
13180637;CO Norte;CO GC Cúcuta;IH SF Licorera;tiendita;#REF!;#REF!
10148374;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
10262728;CO Norte;CO GC Valledupar;OOH DL Tienda Social;tiendita;#REF!;#REF!
10277034;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
10949831;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
10299920;CO Norte;CO GC Cartagena;OOH DL Tienda Social;tiendita;#REF!;#REF!
13501198;CO Norte;CO GC Cartagena;IH SF Licorera;tiendita;#REF!;#REF!
12798716;CO Norte;CO GC Sincelejo;IH SF Licorera;tiendita;#REF!;#REF!
10387474;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
11568995;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
11303721;CO Norte;CO GC Barranquilla;OOH DL Tienda Social;tiendita;#REF!;#REF!
10374918;CO Norte;CO GC Barranquilla;OOH DL Tienda Social;tiendita;#REF!;#REF!
12517738;CO Norte;CO GC Cartagena;IH SF Licorera;tiendita;#REF!;#REF!
10159950;CO Norte;CO GC Sincelejo;OOH DL Tienda Social;tiendita;#REF!;#REF!
13198217;CO Norte;CO GC Valledupar;IH SF Licorera;tiendita;#REF!;#REF!
11309536;CO Norte;CO GC Santa Marta;OOH DL Tienda Social;tiendita;#REF!;#REF!
11796807;CO Norte;CO GC Santa Marta;OOH DL Tienda Social;tiendita;#REF!;#REF!
10382800;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
10386140;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
11656662;CO Norte;CO GC Barranquilla;OOH DL Tienda Social;tiendita;#REF!;#REF!
11475798;CO Norte;CO GC Sincelejo;OOH DL Tienda Social;tiendita;#REF!;#REF!
11248629;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
11270292;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
12515460;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
12965377;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
12666326;CO Norte;CO GC Sincelejo;IH SF Licorera;tiendita;#REF!;#REF!
12537106;CO Norte;CO GC Cúcuta;IH SF Licorera;tiendita;#REF!;#REF!
10398325;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
11469655;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
10154404;CO Norte;CO GC Sincelejo;OOH DL Tienda Social;tiendita;#REF!;#REF!
10362209;CO Norte;CO GC Barranquilla;OOH DL Tienda Social;tiendita;#REF!;#REF!
11673291;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
13448481;CO Norte;CO GC Córdoba;IH SF Licorera;tiendita;#REF!;#REF!
10387466;CO Norte;CO GC Barranquilla;OOH DL Tienda Social;tiendita;#REF!;#REF!
11545897;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
12830542;CO Norte;CO GC Valledupar;IH SF Licorera;tiendita;#REF!;#REF!
11345022;CO Norte;CO GC Cartagena;OOH DL Tienda Social;tiendita;#REF!;#REF!
12525119;CO Norte;CO GC Cúcuta;IH SF Licorera;tiendita;#REF!;#REF!
11435054;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
12670819;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
10378827;CO Norte;CO GC Cúcuta;IH SF Licorera;tiendita;#REF!;#REF!
13444299;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
13243295;CO Norte;CO GC Sincelejo;IH SF Licorera;tiendita;#REF!;#REF!
10380419;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
13182019;CO Norte;CO GC Valledupar;OOH DL Tienda Social;tiendita;#REF!;#REF!
12268556;CO Norte;CO GC Cartagena;OOH DL Tienda Social;tiendita;#REF!;#REF!
11763092;CO Norte;CO GC Sincelejo;OOH DL Tienda Social;tiendita;#REF!;#REF!
10502187;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
13869415;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
10393547;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
11467592;CO Norte;CO GC Santa Marta;OOH DL Tienda Social;tiendita;#REF!;#REF!
10663158;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
10386801;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
11534432;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
12283640;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
13190829;CO Norte;CO GC Cartagena;OOH DL Tienda Social;tiendita;#REF!;#REF!
11472992;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
10376673;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
12990594;CO Norte;CO GC Barranquilla;OOH DL Tienda Social;tiendita;#REF!;#REF!
11766683;CO Norte;CO GC Cúcuta;IH SF Licorera;tiendita;#REF!;#REF!
12496806;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
12169826;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
12597031;CO Norte;CO GC Valledupar;OOH DL Tienda Social;tiendita;#REF!;#REF!
12754437;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
12738127;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
10392764;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
12237678;CO Norte;CO GC Cartagena;IH SF Licorera;tiendita;#REF!;#REF!
12989694;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
13220515;CO Norte;CO GC Barranquilla;OOH DL Tienda Social;tiendita;#REF!;#REF!
10389391;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
10151008;CO Norte;CO GC Santa Marta;OOH DL Tienda Social;tiendita;#REF!;#REF!
12644365;CO Norte;CO GC Valledupar;IH SF Licorera;tiendita;#REF!;#REF!
11295978;CO Norte;CO GC Cúcuta;IH SF Licorera;tiendita;#REF!;#REF!
11517758;CO Norte;CO GC Santa Marta;OOH DL Tienda Social;tiendita;#REF!;#REF!
10301760;CO Norte;CO GC Cartagena;IH SF Licorera;tiendita;#REF!;#REF!
12887330;CO Norte;CO GC Cúcuta;IH SF Licorera;tiendita;#REF!;#REF!
11473285;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
12238732;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
10392975;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
11187301;CO Norte;CO GC Córdoba;IH SF Licorera;tiendita;#REF!;#REF!
10380338;CO Norte;CO GC Cúcuta;IH SF Licorera;tiendita;#REF!;#REF!
12734490;CO Norte;CO GC Valledupar;IH SF Licorera;tiendita;#REF!;#REF!
13205983;CO Norte;CO GC Sincelejo;IH SF Licorera;tiendita;#REF!;#REF!
11191249;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
10384952;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
10382697;CO Norte;CO GC Barranquilla;OOH DL Tienda Social;tiendita;#REF!;#REF!
11556767;CO Norte;CO GC Santa Marta;OOH DL Tienda Social;tiendita;#REF!;#REF!
13037312;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
10979116;CO Norte;CO GC Cúcuta;IH SF Licorera;tiendita;#REF!;#REF!
10387458;CO Norte;CO GC Barranquilla;OOH DL Tienda Social;tiendita;#REF!;#REF!
13079267;CO Norte;CO GC Cartagena;OOH DL Tienda Social;tiendita;#REF!;#REF!
13202238;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
12767662;CO Norte;CO GC Sincelejo;IH SF Licorera;tiendita;#REF!;#REF!
11443904;CO Norte;CO GC Barranquilla;OOH DL Tienda Social;tiendita;#REF!;#REF!
11500753;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
12551024;CO Norte;CO GC Valledupar;IH SF Licorera;tiendita;#REF!;#REF!
11190993;CO Norte;CO GC Córdoba;IH SF Licorera;tiendita;#REF!;#REF!
11649687;CO Norte;CO GC Cartagena;OOH DL Tienda Social;tiendita;#REF!;#REF!
10373420;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
13819040;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
12469799;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
10385211;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
13329958;CO Norte;CO GC Cúcuta;IH SF Licorera;tiendita;#REF!;#REF!
12570847;CO Norte;CO GC Santa Marta;IH SF Licorera;tiendita;#REF!;#REF!
10387771;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
12267099;CO Norte;CO GC Córdoba;IH SF Licorera;tiendita;#REF!;#REF!
13497799;CO Norte;CO GC Cartagena;IH SF Licorera;tiendita;#REF!;#REF!
13011952;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
13728834;CO Norte;CO GC Barranquilla;IH SF Licorera;tiendita;#REF!;#REF!
10390206;CO Norte;CO GC Cúcuta;OOH DL Tienda Social;tiendita;#REF!;#REF!
11573955;CO Norte;CO GC Córdoba;OOH DL Tienda Social;tiendita;#REF!;#REF!
